Indicator	PUBLISH STATES	Year	WHO region	World Bank income group	Country	Sex	Display Value	Numeric	Low	High	Comments
Life expectancy at birth (years)	Published	2000	Africa	Low-income	Ethiopia	Female	53	53.0			
Life expectancy at birth (years)	Published	1990	Africa	Low-income	Ethiopia	Both sexes	45	45.0			
Life expectancy at birth (years)	Published	2000	Africa	Low-income	Ghana	Male	57	57.0			
Life expectancy at birth (years)	Published	1990	Africa	Low-income	Ghana	Female	58	58.0			
Life expectancy at age 60 (years)	Published	2000	Africa	Low-income	Ghana	Male	16	16.0			
Life expectancy at birth (years)	Published	1990	Africa	Low-income	Guinea	Male	46	46.0			
Life expectancy at birth (years)	Published	1990	Africa	Low-income	Guinea	Female	48	48.0			
Life expectancy at age 60 (years)	Published	2012	Africa	Low-income	Guinea	Both sexes	16	16.0			
Life expectancy at birth (years)	Published	1990	Africa	Low-income	Gambia	Male	50	50.0			
Life expectancy at birth (years)	Published	1990	Africa	Low-income	Gambia	Both sexes	52	52.0			
Life expectancy at birth (years)	Published	2000	Africa	Low-income	Gambia	Both sexes	56	56.0			
Life expectancy at age 60 (years)	Published	2000	Africa	Low-income	Gambia	Both sexes	16	16.0			
Life expectancy at birth (years)	Published	2012	Africa	Low-income	Guinea-Bissau	Female	56	56.0			
Life expectancy at birth (years)	Published	2000	Africa	Low-income	Guinea-Bissau	Both sexes	52	52.0			
Life expectancy at age 60 (years)	Published	2000	Africa	Low-income	Guinea-Bissau	Female	15	15.0			
Life expectancy at birth (years)	Published	2000	Africa	Low-income	Kenya	Male	51	51.0			
Life expectancy at birth (years)	Published	1990	Africa	Low-income	Kenya	Female	62	62.0			
Life expectancy at age 60 (years)	Published	2012	Africa	Low-income	Kenya	Male	17	17.0			
Life expectancy at age 60 (years)	Published	2012	Africa	Low-income	Kenya	Both sexes	18	18.0			
Life expectancy at age 60 (years)	Published	1990	Europe	Low-income	Kyrgyzstan	Both sexes	18	18.0			
Life expectancy at birth (years)	Published	2012	Western Pacific	Low-income	Cambodia	Female	75	75.0			
Life expectancy at birth (years)	Published	1990	Western Pacific	Low-income	Lao People's Democratic Republic	Female	54	54.0			
Life expectancy at birth (years)	Published	1990	Africa	Low-income	Liberia	Female	46	46.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Low-income	Liberia	Male	13	13.0			
Life expectancy at age 60 (years)	Published	2012	Africa	Low-income	Liberia	Male	15	15.0			
Life expectancy at birth (years)	Published	2000	Africa	Low-income	Madagascar	Both sexes	58	58.0			
Life expectancy at birth (years)	Published	2012	Africa	Low-income	Madagascar	Both sexes	64	64.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Low-income	Madagascar	Male	15	15.0			
Life expectancy at age 60 (years)	Published	2000	Africa	Low-income	Madagascar	Male	15	15.0			
Life expectancy at birth (years)	Published	1990	Africa	Low-income	Mali	Male	46	46.0			
Life expectancy at birth (years)	Published	2000	Africa	Low-income	Mali	Both sexes	48	48.0			
Life expectancy at age 60 (years)	Published	2012	Africa	Low-income	Mali	Female	16	16.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Low-income	Mali	Both sexes	14	14.0			
Life expectancy at age 60 (years)	Published	2012	Africa	Low-income	Mali	Both sexes	15	15.0			
Life expectancy at birth (years)	Published	1990	South-East Asia	Low-income	Myanmar	Both sexes	59	59.0			
Life expectancy at birth (years)	Published	2000	Africa	Low-income	Mozambique	Male	46	46.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Low-income	Mozambique	Female	15	15.0			
Life expectancy at birth (years)	Published	1990	Africa	Low-income	Mauritania	Male	57	57.0			
Life expectancy at birth (years)	Published	2000	Africa	Low-income	Mauritania	Male	59	59.0			
Life expectancy at birth (years)	Published	2012	Africa	Low-income	Mauritania	Male	61	61.0			
Life expectancy at birth (years)	Published	2000	Africa	Low-income	Malawi	Both sexes	44	44.0			
Life expectancy at age 60 (years)	Published	2000	Africa	Low-income	Malawi	Both sexes	15	15.0			
Life expectancy at birth (years)	Published	2000	Africa	Low-income	Niger	Both sexes	50	50.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Low-income	Niger	Both sexes	15	15.0			
Life expectancy at birth (years)	Published	2012	Western Pacific	Low-income	Niue	Female	78	78.0			
Life expectancy at age 60 (years)	Published	2000	Western Pacific	Low-income	Niue	Male	16	16.0			
Life expectancy at age 60 (years)	Published	2012	Western Pacific	Low-income	Niue	Male	17	17.0			
Life expectancy at age 60 (years)	Published	2000	Western Pacific	Low-income	Niue	Female	20	20.0			
Life expectancy at birth (years)	Published	2012	South-East Asia	Low-income	Nepal	Male	67	67.0			
Life expectancy at birth (years)	Published	2012	South-East Asia	Low-income	Nepal	Both sexes	68	68.0			
Life expectancy at age 60 (years)	Published	2000	South-East Asia	Low-income	Nepal	Male	15	15.0			
Life expectancy at birth (years)	Published	1990	South-East Asia	Low-income	Democratic People's Republic of Korea	Male	66	66.0			
Life expectancy at birth (years)	Published	2000	South-East Asia	Low-income	Democratic People's Republic of Korea	Both sexes	65	65.0			
Life expectancy at birth (years)	Published	2012	South-East Asia	Low-income	Democratic People's Republic of Korea	Both sexes	70	70.0			
Life expectancy at age 60 (years)	Published	1990	South-East Asia	Low-income	Democratic People's Republic of Korea	Both sexes	17	17.0			
Life expectancy at birth (years)	Published	2000	Africa	Low-income	Rwanda	Both sexes	46	46.0			
Life expectancy at age 60 (years)	Published	2000	Africa	Low-income	Rwanda	Both sexes	15	15.0			
Life expectancy at birth (years)	Published	2012	Africa	Low-income	Senegal	Female	66	66.0			
Life expectancy at age 60 (years)	Published	2012	Africa	Low-income	Senegal	Male	15	15.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Low-income	Senegal	Female	16	16.0			
Life expectancy at birth (years)	Published	2000	Africa	Low-income	Sierra Leone	Male	38	38.0			
Life expectancy at birth (years)	Published	2012	Africa	Low-income	Sierra Leone	Male	45	45.0			
Life expectancy at birth (years)	Published	1990	Africa	Low-income	Sierra Leone	Female	38	38.0			
Life expectancy at birth (years)	Published	2000	Africa	Low-income	Sierra Leone	Female	39	39.0			
Life expectancy at birth (years)	Published	2012	Eastern Mediterranean	Low-income	Somalia	Both sexes	53	53.0			
Life expectancy at age 60 (years)	Published	1990	Eastern Mediterranean	Low-income	Somalia	Both sexes	15	15.0			
Life expectancy at birth (years)	Published	1990	Eastern Mediterranean	Low-income	South Sudan	Male	41	41.0			
Life expectancy at birth (years)	Published	1990	Africa	Low-income	Chad	Both sexes	45	45.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Low-income	Chad	Both sexes	14	14.0			
Life expectancy at birth (years)	Published	2000	Africa	Low-income	Togo	Male	54	54.0			
Life expectancy at birth (years)	Published	1990	Africa	Low-income	Togo	Female	57	57.0			
Life expectancy at birth (years)	Published	2012	Africa	Low-income	Togo	Female	59	59.0			
Life expectancy at age 60 (years)	Published	2000	Africa	Low-income	Togo	Male	16	16.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Low-income	Togo	Female	17	17.0			
Life expectancy at age 60 (years)	Published	2000	Africa	Low-income	Togo	Female	16	16.0			
Life expectancy at age 60 (years)	Published	2000	Europe	Low-income	Tajikistan	Male	17	17.0			
Life expectancy at age 60 (years)	Published	2012	Europe	Low-income	Tajikistan	Both sexes	17	17.0			
Life expectancy at birth (years)	Published	1990	Africa	Low-income	United Republic of Tanzania	Male	49	49.0			
Life expectancy at birth (years)	Published	1990	Africa	Low-income	United Republic of Tanzania	Both sexes	51	51.0			
Life expectancy at birth (years)	Published	2000	Africa	Low-income	United Republic of Tanzania	Both sexes	50	50.0			
Life expectancy at age 60 (years)	Published	2012	Africa	Low-income	United Republic of Tanzania	Both sexes	18	18.0			
Life expectancy at birth (years)	Published	2012	Africa	Low-income	Uganda	Female	58	58.0			
Life expectancy at birth (years)	Published	2000	Africa	Low-income	Uganda	Both sexes	45	45.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Low-income	Uganda	Both sexes	15	15.0			
Life expectancy at birth (years)	Published	2012	Europe	Low-income	Uzbekistan	Male	67	67.0			
Life expectancy at birth (years)	Published	2012	Europe	Low-income	Uzbekistan	Female	72	72.0			
Life expectancy at age 60 (years)	Published	2000	Europe	Low-income	Uzbekistan	Male	15	15.0			
Life expectancy at age 60 (years)	Published	1990	Europe	Low-income	Uzbekistan	Female	20	20.0			
Life expectancy at birth (years)	Published	2012	Western Pacific	Low-income	Viet Nam	Both sexes	76	76.0			
Life expectancy at age 60 (years)	Published	1990	Western Pacific	Low-income	Viet Nam	Male	18	18.0			
Life expectancy at age 60 (years)	Published	2000	Western Pacific	Low-income	Viet Nam	Male	18	18.0			
Life expectancy at age 60 (years)	Published	1990	Western Pacific	Low-income	Viet Nam	Female	23	23.0			
Life expectancy at birth (years)	Published	2000	Eastern Mediterranean	Low-income	Yemen	Male	59	59.0			
Life expectancy at birth (years)	Published	2000	Eastern Mediterranean	Low-income	Yemen	Both sexes	61	61.0			
Life expectancy at age 60 (years)	Published	1990	Eastern Mediterranean	Low-income	Yemen	Male	15	15.0			
Life expectancy at age 60 (years)	Published	2000	Eastern Mediterranean	Low-income	Yemen	Male	15	15.0			
Life expectancy at age 60 (years)	Published	1990	Eastern Mediterranean	Low-income	Yemen	Both sexes	16	16.0			
Life expectancy at age 60 (years)	Published	2012	Eastern Mediterranean	Low-income	Yemen	Both sexes	16	16.0			
Life expectancy at birth (years)	Published	2012	Africa	Low-income	Zambia	Female	58	58.0			
Life expectancy at age 60 (years)	Published	2012	Africa	Low-income	Zambia	Female	18	18.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Low-income	Zambia	Both sexes	15	15.0			
Life expectancy at age 60 (years)	Published	2000	Africa	Low-income	Zambia	Both sexes	15	15.0			
Life expectancy at birth (years)	Published	2000	Africa	Low-income	Zimbabwe	Female	42	42.0			
Life expectancy at birth (years)	Published	1990	Africa	Low-income	Zimbabwe	Both sexes	62	62.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Low-income	Zimbabwe	Female	18	18.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Lower-middle-income	Angola	Male	13	13.0			
Life expectancy at age 60 (years)	Published	2012	Africa	Lower-middle-income	Angola	Both sexes	16	16.0			
Life expectancy at birth (years)	Published	2012	Europe	Lower-middle-income	Albania	Female	75	75.0			
Life expectancy at birth (years)	Published	1990	Europe	Lower-middle-income	Albania	Both sexes	69	69.0			
Life expectancy at birth (years)	Published	2000	Europe	Lower-middle-income	Azerbaijan	Male	64	64.0			
Life expectancy at age 60 (years)	Published	2012	Europe	Lower-middle-income	Azerbaijan	Male	17	17.0			
Life expectancy at age 60 (years)	Published	2000	Europe	Lower-middle-income	Azerbaijan	Female	18	18.0			
Life expectancy at birth (years)	Published	1990	Americas	Lower-middle-income	Belize	Male	69	69.0			
Life expectancy at birth (years)	Published	2000	Americas	Lower-middle-income	Belize	Male	69	69.0			
Life expectancy at birth (years)	Published	2012	Americas	Lower-middle-income	Belize	Male	72	72.0			
Life expectancy at age 60 (years)	Published	2012	Americas	Lower-middle-income	Belize	Male	19	19.0			
Life expectancy at age 60 (years)	Published	2000	Americas	Lower-middle-income	Belize	Both sexes	19	19.0			
Life expectancy at birth (years)	Published	1990	Americas	Lower-middle-income	Bolivia (Plurinational State of)	Male	56	56.0			
Life expectancy at birth (years)	Published	2000	Americas	Lower-middle-income	Bolivia (Plurinational State of)	Both sexes	63	63.0			
Life expectancy at birth (years)	Published	2012	South-East Asia	Lower-middle-income	Bhutan	Female	69	69.0			
Life expectancy at birth (years)	Published	1990	Western Pacific	Lower-middle-income	China	Female	71	71.0			
Life expectancy at birth (years)	Published	2012	Western Pacific	Lower-middle-income	China	Female	77	77.0			
Life expectancy at age 60 (years)	Published	2000	Western Pacific	Lower-middle-income	China	Male	17	17.0			
Life expectancy at age 60 (years)	Published	2000	Western Pacific	Lower-middle-income	China	Female	20	20.0			
Life expectancy at birth (years)	Published	1990	Africa	Lower-middle-income	Côte d'Ivoire	Female	54	54.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Lower-middle-income	Côte d'Ivoire	Male	15	15.0			
Life expectancy at birth (years)	Published	1990	Africa	Lower-middle-income	Cameroon	Male	53	53.0			
Life expectancy at birth (years)	Published	2000	Africa	Lower-middle-income	Cameroon	Male	50	50.0			
Life expectancy at birth (years)	Published	1990	Africa	Lower-middle-income	Cameroon	Both sexes	54	54.0			
Life expectancy at birth (years)	Published	2000	Africa	Lower-middle-income	Cameroon	Both sexes	51	51.0			
Life expectancy at birth (years)	Published	2012	Africa	Lower-middle-income	Cameroon	Both sexes	56	56.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Lower-middle-income	Cameroon	Male	15	15.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Lower-middle-income	Cameroon	Both sexes	16	16.0			
Life expectancy at age 60 (years)	Published	2000	Africa	Lower-middle-income	Cameroon	Both sexes	16	16.0			
Life expectancy at birth (years)	Published	2000	Africa	Lower-middle-income	Congo	Female	53	53.0			
Life expectancy at birth (years)	Published	1990	Africa	Lower-middle-income	Congo	Both sexes	56	56.0			
Life expectancy at age 60 (years)	Published	2000	Africa	Lower-middle-income	Congo	Both sexes	16	16.0			
Life expectancy at birth (years)	Published	1990	Africa	Lower-middle-income	Cabo Verde	Both sexes	66	66.0			
Life expectancy at age 60 (years)	Published	2012	Africa	Lower-middle-income	Cabo Verde	Male	17	17.0			
Life expectancy at birth (years)	Published	2000	Eastern Mediterranean	Lower-middle-income	Djibouti	Male	55	55.0			
Life expectancy at age 60 (years)	Published	2000	Eastern Mediterranean	Lower-middle-income	Djibouti	Male	15	15.0			
Life expectancy at age 60 (years)	Published	1990	Eastern Mediterranean	Lower-middle-income	Djibouti	Female	16	16.0			
Life expectancy at birth (years)	Published	2000	Americas	Lower-middle-income	Ecuador	Male	70	70.0			
Life expectancy at birth (years)	Published	2012	Americas	Lower-middle-income	Ecuador	Male	73	73.0			
Life expectancy at age 60 (years)	Published	2000	Americas	Lower-middle-income	Ecuador	Male	20	20.0			
Life expectancy at age 60 (years)	Published	2000	Americas	Lower-middle-income	Ecuador	Both sexes	21	21.0			
Life expectancy at age 60 (years)	Published	2012	Americas	Lower-middle-income	Ecuador	Both sexes	22	22.0			
Life expectancy at birth (years)	Published	1990	Eastern Mediterranean	Lower-middle-income	Egypt	Both sexes	65	65.0			
Life expectancy at age 60 (years)	Published	2012	Eastern Mediterranean	Lower-middle-income	Egypt	Female	19	19.0			
Life expectancy at age 60 (years)	Published	1990	Eastern Mediterranean	Lower-middle-income	Egypt	Both sexes	17	17.0			
Life expectancy at age 60 (years)	Published	2000	Eastern Mediterranean	Lower-middle-income	Egypt	Both sexes	17	17.0			
Life expectancy at age 60 (years)	Published	2012	Eastern Mediterranean	Lower-middle-income	Egypt	Both sexes	17	17.0			
Life expectancy at birth (years)	Published	2012	Western Pacific	Lower-middle-income	Micronesia (Federated States of)	Female	70	70.0			
Life expectancy at age 60 (years)	Published	1990	Western Pacific	Lower-middle-income	Micronesia (Federated States of)	Female	17	17.0			
Life expectancy at age 60 (years)	Published	2000	Western Pacific	Lower-middle-income	Micronesia (Federated States of)	Female	18	18.0			
Life expectancy at birth (years)	Published	2000	Europe	Lower-middle-income	Georgia	Male	68	68.0			
Life expectancy at birth (years)	Published	1990	Europe	Lower-middle-income	Georgia	Female	75	75.0			
Life expectancy at age 60 (years)	Published	2000	Europe	Lower-middle-income	Georgia	Male	17	17.0			
Life expectancy at birth (years)	Published	1990	Americas	Lower-middle-income	Guatemala	Male	60	60.0			
Life expectancy at birth (years)	Published	2000	Americas	Lower-middle-income	Guatemala	Male	64	64.0			
Life expectancy at age 60 (years)	Published	1990	Americas	Lower-middle-income	Guatemala	Male	17	17.0			
Life expectancy at age 60 (years)	Published	2012	Americas	Lower-middle-income	Guatemala	Male	20	20.0			
Life expectancy at age 60 (years)	Published	2000	Americas	Lower-middle-income	Guatemala	Both sexes	20	20.0			
Life expectancy at birth (years)	Published	1990	Americas	Lower-middle-income	Guyana	Both sexes	63	63.0			
Life expectancy at birth (years)	Published	2012	Americas	Lower-middle-income	Guyana	Both sexes	63	63.0			
Life expectancy at age 60 (years)	Published	2012	Americas	Lower-middle-income	Guyana	Female	17	17.0			
Life expectancy at age 60 (years)	Published	2012	Americas	Lower-middle-income	Guyana	Both sexes	15	15.0			
Life expectancy at birth (years)	Published	2012	Americas	Lower-middle-income	Honduras	Female	77	77.0			
Life expectancy at birth (years)	Published	2000	South-East Asia	Lower-middle-income	Indonesia	Female	69	69.0			
Life expectancy at birth (years)	Published	2000	South-East Asia	Lower-middle-income	India	Male	61	61.0			
Life expectancy at birth (years)	Published	1990	South-East Asia	Lower-middle-income	India	Female	58	58.0			
Life expectancy at age 60 (years)	Published	2000	South-East Asia	Lower-middle-income	India	Male	15	15.0			
Life expectancy at age 60 (years)	Published	2012	South-East Asia	Lower-middle-income	India	Male	16	16.0			
Life expectancy at age 60 (years)	Published	2012	South-East Asia	Lower-middle-income	India	Both sexes	17	17.0			
Life expectancy at birth (years)	Published	2000	Eastern Mediterranean	Lower-middle-income	Iran (Islamic Republic of)	Male	69	69.0			
Life expectancy at age 60 (years)	Published	2000	Eastern Mediterranean	Lower-middle-income	Iran (Islamic Republic of)	Both sexes	18	18.0			
Life expectancy at age 60 (years)	Published	2012	Eastern Mediterranean	Lower-middle-income	Iran (Islamic Republic of)	Both sexes	20	20.0			
Life expectancy at birth (years)	Published	2000	Eastern Mediterranean	Lower-middle-income	Iraq	Female	73	73.0			
Life expectancy at birth (years)	Published	2012	Eastern Mediterranean	Lower-middle-income	Iraq	Female	74	74.0			
Life expectancy at birth (years)	Published	2012	Eastern Mediterranean	Lower-middle-income	Iraq	Both sexes	70	70.0			
Life expectancy at birth (years)	Published	2000	Eastern Mediterranean	Lower-middle-income	Jordan	Female	73	73.0			
Life expectancy at birth (years)	Published	2012	Eastern Mediterranean	Lower-middle-income	Jordan	Female	75	75.0			
Life expectancy at birth (years)	Published	1990	Eastern Mediterranean	Lower-middle-income	Jordan	Both sexes	70	70.0			
Life expectancy at birth (years)	Published	2000	Western Pacific	Lower-middle-income	Kiribati	Male	61	61.0			
Life expectancy at age 60 (years)	Published	2000	Western Pacific	Lower-middle-income	Kiribati	Male	15	15.0			
Life expectancy at age 60 (years)	Published	1990	Western Pacific	Lower-middle-income	Kiribati	Female	17	17.0			
Life expectancy at birth (years)	Published	1990	South-East Asia	Lower-middle-income	Sri Lanka	Male	65	65.0			
Life expectancy at birth (years)	Published	2012	South-East Asia	Lower-middle-income	Sri Lanka	Male	71	71.0			
Life expectancy at birth (years)	Published	2000	South-East Asia	Lower-middle-income	Sri Lanka	Both sexes	70	70.0			
Life expectancy at birth (years)	Published	2012	South-East Asia	Lower-middle-income	Sri Lanka	Both sexes	75	75.0			
Life expectancy at age 60 (years)	Published	2000	South-East Asia	Lower-middle-income	Sri Lanka	Male	17	17.0			
Life expectancy at age 60 (years)	Published	2000	South-East Asia	Lower-middle-income	Sri Lanka	Both sexes	18	18.0			
Life expectancy at age 60 (years)	Published	2012	South-East Asia	Lower-middle-income	Sri Lanka	Both sexes	20	20.0			
Life expectancy at age 60 (years)	Published	2000	Africa	Lower-middle-income	Lesotho	Both sexes	16	16.0			
Life expectancy at birth (years)	Published	1990	Eastern Mediterranean	Lower-middle-income	Morocco	Both sexes	64	64.0			
Life expectancy at age 60 (years)	Published	2012	Eastern Mediterranean	Lower-middle-income	Morocco	Male	17	17.0			
Life expectancy at age 60 (years)	Published	1990	Eastern Mediterranean	Lower-middle-income	Morocco	Female	18	18.0			
Life expectancy at age 60 (years)	Published	1990	Eastern Mediterranean	Lower-middle-income	Morocco	Both sexes	17	17.0			
Life expectancy at birth (years)	Published	2000	Europe	Lower-middle-income	Republic of Moldova	Female	71	71.0			
Life expectancy at age 60 (years)	Published	2012	Europe	Lower-middle-income	Republic of Moldova	Male	15	15.0			
Life expectancy at birth (years)	Published	2000	South-East Asia	Lower-middle-income	Maldives	Male	67	67.0			
Life expectancy at birth (years)	Published	2012	South-East Asia	Lower-middle-income	Maldives	Male	76	76.0			
Life expectancy at age 60 (years)	Published	1990	South-East Asia	Lower-middle-income	Maldives	Male	14	14.0			
Life expectancy at birth (years)	Published	1990	Western Pacific	Lower-middle-income	Marshall Islands	Male	61	61.0			
Life expectancy at birth (years)	Published	1990	Western Pacific	Lower-middle-income	Marshall Islands	Both sexes	63	63.0			
Life expectancy at birth (years)	Published	2012	Western Pacific	Lower-middle-income	Marshall Islands	Both sexes	70	70.0			
Life expectancy at age 60 (years)	Published	2012	Western Pacific	Lower-middle-income	Marshall Islands	Both sexes	18	18.0			
Life expectancy at birth (years)	Published	2000	Western Pacific	Lower-middle-income	Mongolia	Female	66	66.0			
Life expectancy at birth (years)	Published	1990	Western Pacific	Lower-middle-income	Mongolia	Both sexes	61	61.0			
Life expectancy at age 60 (years)	Published	1990	Western Pacific	Lower-middle-income	Mongolia	Female	16	16.0			
Life expectancy at age 60 (years)	Published	2012	Western Pacific	Lower-middle-income	Mongolia	Female	18	18.0			
Life expectancy at age 60 (years)	Published	1990	Western Pacific	Lower-middle-income	Mongolia	Both sexes	15	15.0			
Life expectancy at birth (years)	Published	2012	Africa	Lower-middle-income	Nigeria	Male	53	53.0			
Life expectancy at birth (years)	Published	2000	Africa	Lower-middle-income	Nigeria	Female	48	48.0			
Life expectancy at birth (years)	Published	2012	Africa	Lower-middle-income	Nigeria	Female	55	55.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Lower-middle-income	Nigeria	Female	15	15.0			
Life expectancy at birth (years)	Published	1990	Americas	Lower-middle-income	Nicaragua	Male	68	68.0			
Life expectancy at age 60 (years)	Published	2000	Americas	Lower-middle-income	Nicaragua	Male	21	21.0			
Life expectancy at age 60 (years)	Published	2012	Americas	Lower-middle-income	Nicaragua	Male	20	20.0			
Life expectancy at birth (years)	Published	2000	Eastern Mediterranean	Lower-middle-income	Pakistan	Both sexes	63	63.0			
Life expectancy at age 60 (years)	Published	2012	Eastern Mediterranean	Lower-middle-income	Pakistan	Both sexes	17	17.0			
Life expectancy at birth (years)	Published	2000	Western Pacific	Lower-middle-income	Philippines	Female	73	73.0			
Life expectancy at birth (years)	Published	2012	Western Pacific	Lower-middle-income	Philippines	Female	72	72.0			
Life expectancy at birth (years)	Published	1990	Western Pacific	Lower-middle-income	Philippines	Both sexes	66	66.0			
Life expectancy at age 60 (years)	Published	2012	Western Pacific	Lower-middle-income	Philippines	Female	19	19.0			
Life expectancy at age 60 (years)	Published	2000	Western Pacific	Lower-middle-income	Philippines	Both sexes	19	19.0			
Life expectancy at age 60 (years)	Published	2012	Western Pacific	Lower-middle-income	Papua New Guinea	Male	13	13.0			
Life expectancy at birth (years)	Published	2000	Americas	Lower-middle-income	Paraguay	Male	71	71.0			
Life expectancy at birth (years)	Published	2012	Americas	Lower-middle-income	Paraguay	Male	72	72.0			
Life expectancy at birth (years)	Published	1990	Americas	Lower-middle-income	Paraguay	Female	76	76.0			
Life expectancy at age 60 (years)	Published	1990	Americas	Lower-middle-income	Paraguay	Female	22	22.0			
Life expectancy at birth (years)	Published	1990	Eastern Mediterranean	Lower-middle-income	Sudan	Male	54	54.0			
Life expectancy at birth (years)	Published	2012	Eastern Mediterranean	Lower-middle-income	Sudan	Male	61	61.0			
Life expectancy at age 60 (years)	Published	1990	Eastern Mediterranean	Lower-middle-income	Sudan	Male	16	16.0			
Life expectancy at age 60 (years)	Published	2012	Eastern Mediterranean	Lower-middle-income	Sudan	Both sexes	17	17.0			
Life expectancy at birth (years)	Published	1990	Western Pacific	Lower-middle-income	Solomon Islands	Male	61	61.0			
Life expectancy at birth (years)	Published	1990	Western Pacific	Lower-middle-income	Solomon Islands	Both sexes	62	62.0			
Life expectancy at birth (years)	Published	1990	Europe	High-income	Andorra	Male	74	74.0			
Life expectancy at birth (years)	Published	2000	Europe	High-income	Andorra	Male	76	76.0			
Life expectancy at age 60 (years)	Published	1990	Europe	High-income	Andorra	Male	19	19.0			
Life expectancy at birth (years)	Published	2012	Eastern Mediterranean	High-income	United Arab Emirates	Both sexes	76	76.0			
Life expectancy at age 60 (years)	Published	1990	Eastern Mediterranean	High-income	United Arab Emirates	Male	17	17.0			
Life expectancy at birth (years)	Published	2000	Americas	High-income	Antigua and Barbuda	Female	74	74.0			
Life expectancy at birth (years)	Published	1990	Americas	High-income	Antigua and Barbuda	Both sexes	71	71.0			
Life expectancy at age 60 (years)	Published	2000	Americas	High-income	Antigua and Barbuda	Both sexes	20	20.0			
Life expectancy at birth (years)	Published	2000	Western Pacific	High-income	Australia	Female	83	83.0			
Life expectancy at age 60 (years)	Published	2012	Western Pacific	High-income	Australia	Female	27	27.0			
Life expectancy at age 60 (years)	Published	1990	Europe	High-income	Austria	Male	18	18.0			
Life expectancy at age 60 (years)	Published	2012	Europe	High-income	Austria	Male	22	22.0			
Life expectancy at age 60 (years)	Published	1990	Europe	High-income	Austria	Female	22	22.0			
Life expectancy at age 60 (years)	Published	2012	Europe	High-income	Austria	Both sexes	24	24.0			
Life expectancy at birth (years)	Published	2012	Europe	High-income	Belgium	Both sexes	80	80.0			
Life expectancy at age 60 (years)	Published	2012	Europe	High-income	Belgium	Both sexes	23	23.0			
Life expectancy at birth (years)	Published	1990	Eastern Mediterranean	High-income	Bahrain	Both sexes	73	73.0			
Life expectancy at birth (years)	Published	2012	Eastern Mediterranean	High-income	Bahrain	Both sexes	77	77.0			
Life expectancy at age 60 (years)	Published	2012	Eastern Mediterranean	High-income	Bahrain	Both sexes	20	20.0			
Life expectancy at birth (years)	Published	1990	Americas	High-income	Bahamas	Female	74	74.0			
Life expectancy at birth (years)	Published	2000	Americas	High-income	Bahamas	Female	76	76.0			
Life expectancy at birth (years)	Published	2012	Americas	High-income	Bahamas	Female	78	78.0			
Life expectancy at age 60 (years)	Published	2000	Americas	High-income	Bahamas	Female	23	23.0			
Life expectancy at birth (years)	Published	2000	Americas	High-income	Barbados	Female	78	78.0			
Life expectancy at age 60 (years)	Published	2012	Americas	High-income	Barbados	Male	21	21.0			
Life expectancy at birth (years)	Published	2012	Western Pacific	High-income	Brunei Darussalam	Male	76	76.0			
Life expectancy at age 60 (years)	Published	2012	Western Pacific	High-income	Brunei Darussalam	Male	20	20.0			
Life expectancy at birth (years)	Published	2012	Americas	High-income	Canada	Both sexes	82	82.0			
Life expectancy at age 60 (years)	Published	2012	Americas	High-income	Canada	Female	26	26.0			
Life expectancy at age 60 (years)	Published	1990	Americas	High-income	Canada	Both sexes	22	22.0			
Life expectancy at birth (years)	Published	2012	Europe	High-income	Switzerland	Female	85	85.0			
Life expectancy at birth (years)	Published	2000	Europe	High-income	Switzerland	Both sexes	80	80.0			
Life expectancy at age 60 (years)	Published	1990	Europe	High-income	Switzerland	Female	24	24.0			
Life expectancy at age 60 (years)	Published	2012	Europe	High-income	Switzerland	Female	27	27.0			
Life expectancy at age 60 (years)	Published	1990	Europe	High-income	Switzerland	Both sexes	22	22.0			
Life expectancy at birth (years)	Published	2012	Western Pacific	High-income	Cook Islands	Male	73	73.0			
Life expectancy at birth (years)	Published	2012	Europe	High-income	Cyprus	Male	80	80.0			
Life expectancy at age 60 (years)	Published	1990	Europe	High-income	Cyprus	Male	19	19.0			
Life expectancy at age 60 (years)	Published	2012	Europe	High-income	Cyprus	Male	23	23.0			
Life expectancy at birth (years)	Published	1990	Europe	High-income	Czech Republic	Both sexes	71	71.0			
Life expectancy at birth (years)	Published	2000	Europe	High-income	Czech Republic	Both sexes	75	75.0			
Life expectancy at age 60 (years)	Published	1990	Europe	High-income	Czech Republic	Male	15	15.0			
Life expectancy at age 60 (years)	Published	1990	Europe	High-income	Czech Republic	Both sexes	17	17.0			
